Approp Code,Agency,Agency Name,Div,Division Name,Appropriation Name,Appropriation,Fund Name,Fund,Fund Category Name,Appropriation Type,Capital Line, FY14 Actual Approp , FY14 Actual Expend , FY15 Actual Approp , FY15 Estimate Expend , FY16 Governors Proposed 
420-43-0971-49009400,420,Department Of Commerce And Economic Opportunity,43,Local Projects,Strategic Human Services - General Infrastructure,49009400,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,100000,0,0
420-43-0971-49009415,420,Department Of Commerce And Economic Opportunity,43,Local Projects,Strategic Human Services - General Infrastructure,49009415,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,100000
420-43-0971-49009500,420,Department Of Commerce And Economic Opportunity,43,Local Projects,City of Chicago - Street Repairs in the 28th Ward,49009500,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,242500,0,0
420-43-0971-49009515,420,Department Of Commerce And Economic Opportunity,43,Local Projects,City of Chicago - Street Repairs in the 28th Ward,49009515,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,242500
420-43-0971-49009600,420,Department Of Commerce And Economic Opportunity,43,Local Projects,City of Chicago - Street Repairs in the 37th Ward,49009600,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,242500,0,0
420-43-0971-49009615,420,Department Of Commerce And Economic Opportunity,43,Local Projects,City of Chicago - Street Repairs in the 37th Ward,49009615,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,242500
420-43-0971-49009700,420,Department Of Commerce And Economic Opportunity,43,Local Projects,Latino Organization of the Southwest - Capital Improvements,49009700,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,150000,0,0
420-43-0971-49009715,420,Department Of Commerce And Economic Opportunity,43,Local Projects,Latino Organization of the Southwest - Capital Improvements,49009715,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,150000
420-43-0971-49009800,420,Department Of Commerce And Economic Opportunity,43,Local Projects,Women in Need Growing Stronger (WINGS) - General Infrastructure Improvements,49009800,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,220000,55000,0
420-43-0971-49009815,420,Department Of Commerce And Economic Opportunity,43,Local Projects,Women in Need Growing Stronger (WINGS) - General Infrastructure Improvements,49009815,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,220000
420-43-0971-49009900,420,Department Of Commerce And Economic Opportunity,43,Local Projects,Garden Center Services - General Infrastructure Improvements,49009900,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,150000,0,0
420-43-0971-49009915,420,Department Of Commerce And Economic Opportunity,43,Local Projects,Garden Center Services - General Infrastructure Improvements,49009915,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,150000
420-44-0971-49000000,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Chinese American Service League - Infrastructure Improvements,49000000,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,150000,0,0
420-44-0971-49000015,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Chinese American Service League - Infrastructure Improvements,49000015,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,150000
420-44-0971-49000100,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Back of the Yards Community Council,49000100,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,150000,0,0
420-44-0971-49000115,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Back of the Yards Community Council,49000115,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,150000
420-44-0971-49000200,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Chicago Park District - General Infrastructure Improvements to Donovan Park,49000200,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,100000,0,0
420-44-0971-49000215,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Chicago Park District - General Infrastructure Improvements to Donovan Park,49000215,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,100000
420-44-0971-49000300,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Federacion De Clubes Michoacanos En Illinois,49000300,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49000315,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Federacion De Clubes Michoacanos En Illinois,49000315,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-44-0971-49000400,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Chicago Park District - General Infrastructure Improvements to Moore Park,49000400,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,750000,0,0
420-44-0971-49000415,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Chicago Park District - General Infrastructure Improvements to Moore Park,49000415,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,750000
420-44-0971-49000500,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Little Village Chamber of Commerce - Infrastructure Improvements,49000500,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49000515,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Little Village Chamber of Commerce - Infrastructure Improvements,49000515,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-44-0971-49000600,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Memorial Park District - Renovation of a Swimming Pool,49000600,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,350000,0,0
420-44-0971-49000615,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Memorial Park District - Renovation of a Swimming Pool,49000615,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,350000
420-44-0971-49000700,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Broadview - Fire Station Roof Repair,49000700,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,250000,0,0
420-44-0971-49000715,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Broadview - Fire Station Roof Repair,49000715,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,250000
420-44-0971-49000800,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Forest Park - Back-up Generator at Hannah Pump Station,49000800,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,250000,0,0
420-44-0971-49000815,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Forest Park - Back-up Generator at Hannah Pump Station,49000815,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,250000
420-44-0971-49000900,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Freedom Baptist Church - Parking Lot Repairs,49000900,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,100000,0,0
420-44-0971-49000915,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Freedom Baptist Church - Parking Lot Repairs,49000915,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,100000
420-44-0971-49001000,420,Department Of Commerce And Economic Opportunity,44,Local Projects,United Kingdom Church - Building Repairs,49001000,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49001015,420,Department Of Commerce And Economic Opportunity,44,Local Projects,United Kingdom Church - Building Repairs,49001015,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-44-0971-49001100,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Gifford - Infrastructure Improvements,49001100,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,115000,84241,0
420-44-0971-49001115,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Gifford - Infrastructure Improvements,49001115,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,115000
420-44-0971-49001200,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Township of Roscoe - Capital Improvements,49001200,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,35000,0,0
420-44-0971-49001215,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Township of Roscoe - Capital Improvements,49001215,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,35000
420-44-0971-49001300,420,Department Of Commerce And Economic Opportunity,44,Local Projects,University of Illinois - Infrastructure Improvements to Robert Allerton Park,49001300,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,100000,0,0
420-44-0971-49001315,420,Department Of Commerce And Economic Opportunity,44,Local Projects,University of Illinois - Infrastructure Improvements to Robert Allerton Park,49001315,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,100000
420-44-0971-49001400,420,Department Of Commerce And Economic Opportunity,44,Local Projects,City of Leroy Fire Department - Purchase of Equipment and/or Infrastructure Improvements,49001400,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49001415,420,Department Of Commerce And Economic Opportunity,44,Local Projects,City of Leroy Fire Department - Purchase of Equipment and/or Infrastructure Improvements,49001415,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-44-0971-49001500,420,Department Of Commerce And Economic Opportunity,44,Local Projects,AmVets Post 14 - Infrastructure Improvements,49001500,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,100000,0,0
420-44-0971-49001515,420,Department Of Commerce And Economic Opportunity,44,Local Projects,AmVets Post 14 - Infrastructure Improvements,49001515,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,100000
420-44-0971-49001600,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Mt. Zion Fire Department - Purchase of Equipment and/or Infrastructure Improvements,49001600,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,100000,0,0
420-44-0971-49001615,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Mt. Zion Fire Department - Purchase of Equipment and/or Infrastructure Improvements,49001615,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,100000
420-44-0971-49001700,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Warrensburg Fire Department - Infrastructure Improvements,49001700,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49001715,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Warrensburg Fire Department - Infrastructure Improvements,49001715,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-44-0971-49001800,420,Department Of Commerce And Economic Opportunity,44,Local Projects,DeWitt County Friendship Center - Infrastructure Improvements,49001800,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,100000,0,0
420-44-0971-49001815,420,Department Of Commerce And Economic Opportunity,44,Local Projects,DeWitt County Friendship Center - Infrastructure Improvements,49001815,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,100000
420-44-0971-49001900,420,Department Of Commerce And Economic Opportunity,44,Local Projects,American Legion Post 1015 - Infrastructure Improvements,49001900,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,55000,0,0
420-44-0971-49001915,420,Department Of Commerce And Economic Opportunity,44,Local Projects,American Legion Post 1015 - Infrastructure Improvements,49001915,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,55000
420-44-0971-49002000,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Fisher Community Foundation for Educational Enhancement - Infrastructure Improvements,49002000,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49002015,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Fisher Community Foundation for Educational Enhancement - Infrastructure Improvements,49002015,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-44-0971-49002100,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Cisco Fire Department - Purchase of Equipmentæ and/or Infrastructure Improvements,49002100,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,40000,0,0
420-44-0971-49002115,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Cisco Fire Department - Purchase of Equipment and/or Infrastructure Improvements,49002115,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,40000
420-44-0971-49002200,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Cerro Gordo - Infrastructure Improvements,49002200,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49002215,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Village of Cerro Gordo - Infrastructure Improvements,49002215,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-44-0971-49002300,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Cerro Gordo School District #100 - Infrastructure Improvements,49002300,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,40000,0,0
420-44-0971-49002315,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Cerro Gordo School District #100 - Infrastructure Improvements,49002315,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,40000
420-44-0971-49002400,420,Department Of Commerce And Economic Opportunity,44,Local Projects,St. Teresa High School - Infrastructure Improvements,49002400,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49002415,420,Department Of Commerce And Economic Opportunity,44,Local Projects,St. Teresa High School - Infrastructure Improvements,49002415,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-44-0971-49002500,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Hickory Point Fire Department - Infrastructure Improvements,49002500,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,90000,0,0
420-44-0971-49002515,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Hickory Point Fire Department - Infrastructure Improvements,49002515,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,90000
420-44-0971-49002600,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Pike County - Road Infrastructure Improvements,49002600,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,81500,0,0
420-44-0971-49002615,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Pike County - Road Infrastructure Improvements,49002615,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,81500
420-44-0971-49002700,420,Department Of Commerce And Economic Opportunity,44,Local Projects,City of Jerseyville - Infrastructure Improvements,49002700,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,25000,0,0
420-44-0971-49002715,420,Department Of Commerce And Economic Opportunity,44,Local Projects,City of Jerseyville - Infrastructure Improvements,49002715,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,25000
420-44-0971-49002800,420,Department Of Commerce And Economic Opportunity,44,Local Projects,"LeRoy Community Fire Protection District - Capital Expenditures, to Include all Prior Incurred Costs",49002800,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,30000,0,0
420-44-0971-49002815,420,Department Of Commerce And Economic Opportunity,44,Local Projects,"LeRoy Community Fire Protection District - Capital Expenditures, to Include all Prior Incurred Costs",49002815,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,30000
420-44-0971-49002900,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Tazewell County - Infrastructure Improvements,49002900,Build Illinois Bond Fund,971,Bond Financed Funds,New Appropriation,Yes,0,0,50000,0,0
420-44-0971-49002915,420,Department Of Commerce And Economic Opportunity,44,Local Projects,Tazewell County - Infrastructure Improvements,49002915,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,0,0,0,0,50000
420-45-0001-44000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,Illinois Manufacturers' Association,44000000,General Revenue Fund,1,General Funds,New Appropriation,No,1500000,1500000,1500000,0,0
420-45-0001-44000100,420,Department Of Commerce And Economic Opportunity,45,Business Development,Chicago Federation of Labor,44000100,General Revenue Fund,1,General Funds,New Appropriation,No,1500000,1500000,1500000,1500000,0
420-45-0001-44000200,420,Department Of Commerce And Economic Opportunity,45,Business Development,Illinois Manufacturing Extension Center,44000200,General Revenue Fund,1,General Funds,New Appropriation,No,1000000,1000000,1000000,1000000,0
420-45-0001-44000300,420,Department Of Commerce And Economic Opportunity,45,Business Development,Chicagoland Regional College Program,44000300,General Revenue Fund,1,General Funds,New Appropriation,No,2000000,2000000,2000000,2000000,0
420-45-0001-44000400,420,Department Of Commerce And Economic Opportunity,45,Business Development,"Grants, Contracts and Administrative Expenses Associated With New Start Inc for a Basic Nurse Assistant Training Program in Latino Communities",44000400,General Revenue Fund,1,General Funds,New Appropriation,No,750000,750000,750000,750000,0
420-45-0001-44000500,420,Department Of Commerce And Economic Opportunity,45,Business Development,Business and Community Development,44000500,General Revenue Fund,1,General Funds,New Appropriation,No,5065000,5065000,7500000,4000000,0
420-45-0001-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,DCEO Job Training Programs,49000000,General Revenue Fund,1,General Funds,New Appropriation,No,9000000,8812500,10000000,4880150,10000000
420-45-0023-19000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,Economic Research in the State of Illinois,19000000,Economic Research and Information Fund,23,Special State Funds,New Appropriation,No,230000,4000,230000,4000,230000
420-45-0253-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,Riverfront Development,49000000,Riverfront Development Fund,253,Special State Funds,New Appropriation,No,0,0,3000000,0,0
420-45-0320-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,South Suburban Brownfields Redevelopment to include Administrative Expenses,49000000,South Suburban Brownfields Redevelopment Fund,320,Special State Funds,New Appropriation,No,0,0,3000000,0,0
420-45-0321-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,South Suburban Brownfields Redevelopment,49000000,South Suburban Increment Fund,321,State Trust Funds,New Appropriation,No,0,0,3000000,0,0
420-45-0506-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,"Administrative Expenses, Loans and Grants for the State Small Business Credit Initiative",49000000,State Small Business Credit Initiative Fund,506,Federal Trust Funds,New Appropriation,No,68000000,18206945.37,58000000,20000000,40000000
420-45-0603-49000010,420,Department Of Commerce And Economic Opportunity,45,Business Development,Statewide - Port Development Revolving Loan Program - For Grants and Loans pursuant to 30 ILCS 750/9-11,49000010,Port Development Revolving Loan Fund,603,Special State Funds,Reappropriation,Yes,3000000,0,3000000,0,3000000
420-45-0659-19000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,Administrative Expenses Associated with the Historic Tax Credit Program,19000000,Historic Property Administrative Fund,659,Special State Funds,New Appropriation,No,225000,0,150000,42575,200000
420-45-0780-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,Grants to Promote Construction of Intermodal Transportation Facilities,49000000,Intermodal Facilities Promotion Fund,780,Special State Funds,New Appropriation,No,3000000,261764.26,3000000,300000,3000000
420-45-0971-44000027,420,Department Of Commerce And Economic Opportunity,45,Business Development,Illinois Science and Technology Park - Skokie - Expansion and Site Redevelopment,44000027,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,15000000,875000,14125000,0,14125000
420-45-0971-44000110,420,Department Of Commerce And Economic Opportunity,45,Business Development,Statewide - River Edge - Brownfield Redevelopment Program,44000110,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,17000000,0,17000000,0,17000000
420-45-0971-44000127,420,Department Of Commerce And Economic Opportunity,45,Business Development,Statewide - River Edge - Brownfield Redevelopment Program,44000127,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,6000001,500000,5500001,0,5500001
420-45-0971-49000020,420,Department Of Commerce And Economic Opportunity,45,Business Development,"Statewide - Grants and Loans pursuant, but not limited to, Article 8, Article 9 or Article 10 of the Build Illinois Act",49000020,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,3130040,0,3130040,1562500,1567540
420-45-0971-49000021,420,Department Of Commerce And Economic Opportunity,45,Business Development,"Statewide - Grants and Loans pursuant, but not limited to, Article 8, Article 9 or Article 10 of the Build Illinois Act",49000021,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,2600251,0,2600251,0,2600251
420-45-0971-49000022,420,Department Of Commerce And Economic Opportunity,45,Business Development,"Statewide - Grants and Loans pursuant, but not limited to, Article 8, Article 9 or Article 10 of the Build Illinois Act",49000022,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,5567122,0,5567122,1550000,4017122
420-45-0971-49000023,420,Department Of Commerce And Economic Opportunity,45,Business Development,"Statewide - Grants and Loans pursuant, but not limited to, Article 8, Article 9 or Article 10 of the Build Illinois Act",49000023,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,4524172,0,4524172,0,4524172
420-45-0971-49000024,420,Department Of Commerce And Economic Opportunity,45,Business Development,"Statewide - Grants and Loans pursuant, but not limited to, Article 8, Article 9 or Article 10 of the Build Illinois Act",49000024,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,3980704,0,3980704,0,3980704
420-45-0971-49000027,420,Department Of Commerce And Economic Opportunity,45,Business Development,"Statewide - Prime Sites Grants and Loans pursuant, but not limited to, Article 8, Article 9 or Article 10 of the Build Illinois Act",49000027,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,23125000,2874950,20250050,10150000,10100050
420-45-0971-49002110,420,Department Of Commerce And Economic Opportunity,45,Business Development,Statewide - Brownfield Redevelopment,49002110,Build Illinois Bond Fund,971,Bond Financed Funds,Reappropriation,Yes,11000000,1250000,9750000,3438646.87,7859597
420-45-0973-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,Administrative Expenses and Grants Associated with the Small Business Development Act,49000000,Illinois Capital Revolving Loan Fund,973,Special State Funds,New Appropriation,No,10500000,1263210.65,10500000,1282312,10500000
420-45-0974-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,Administrative Expenses and Grants Associated with the Small Business Development Act,49000000,Illinois Equity Fund,974,Special State Funds,New Appropriation,No,1000000,263793.01,1000000,162000,1000000
420-45-0975-49000000,420,Department Of Commerce And Economic Opportunity,45,Business Development,Administrative Expenses and Grants Associated with Article 10 of the Build Illinois Act,49000000,Large Business Attraction Fund,975,Special State Funds,New Appropriation,No,1500000,0,1500000,0,1500000
420-45-0993-49002500,420,Department Of Commerce And Economic Opportunity,45,Business Development,Administrative Expenses and Grants Associated with Article 8 of the Build Illinois Act,49002500,Public Infrastructure Construction Loan Revolving Fund,993,Special State Funds,New Appropriation,No,12000000,819769,12000000,2000000,6000000
420-50-0653-44000027,420,Department Of Commerce And Economic Opportunity,50,Coal Development and Marketing,Statewide - Coal Demonstration Grants,44000027,Coal Development Fund,653,Bond Financed Funds,Reappropriation,Yes,2517468,1297045,1220423,135676.42,1084746.58
420-50-0653-44000124,420,Department Of Commerce And Economic Opportunity,50,Coal Development and Marketing,Secure Energy -  Coal Revival Program - Statewide - For Grants pursuant to 20 ILCS 605/605-332,44000124,Coal Development Fund,653,Bond Financed Funds,Reappropriation,Yes,44000000,0,44000000,0,0
420-50-0653-44000212,420,Department Of Commerce And Economic Opportunity,50,Coal Development and Marketing,Coal Demonstration Program Future Gen 2.0,44000212,Coal Development Fund,653,Bond Financed Funds,Reappropriation,Yes,16166902,1080000,15086902,1086902,14000000
420-50-0653-44000310,420,Department Of Commerce And Economic Opportunity,50,Coal Development and Marketing,Statewide - Facility Cost Reports Prepared for Not More Than One Facility,44000310,Coal Development Fund,653,Bond Financed Funds,Reappropriation,Yes,265437,0,0,0,0
420-50-0653-44000410,420,Department Of Commerce And Economic Opportunity,50,Coal Development and Marketing,Statewide - Development Costs Pursuant to Section 8.1 of the Energy Conservation and Coal Development Act,44000410,Coal Development Fund,653,Bond Financed Funds,Reappropriation,Yes,4900000,0,4900000,0,4900000
420-50-0653-44000800,420,Department Of Commerce And Economic Opportunity,50,Coal Development and Marketing,Coal Facility in Washington County,44000800,Coal Development Fund,653,Bond Financed Funds,New Appropriation,Yes,6000000,0,0,0,0
420-50-0653-44000814,420,Department Of Commerce And Economic Opportunity,50,Coal Development and Marketing,Coal Facility in Washington County,44000814,Coal Development Fund,653,Bond Financed Funds,Reappropriation,Yes,0,0,6000000,6000000,0
420-50-0925-49000000,420,Department Of Commerce And Economic Opportunity,50,Coal Development and Marketing,Administrative Expenses and Grants Associated with the Illinois Coal Technology Development Assistance Act,49000000,Coal Technology Development Assistance Fund,925,Special State Funds,New Appropriation,No,20000000,19110709.98,20000000,15178600,0
420-55-0763-19000000,420,Department Of Commerce And Economic Opportunity,55,Illinois Film Office,Advertising and Promoting Illinois as a Filming Destination,19000000,Tourism Promotion Fund,763,Special State Funds,New Appropriation,No,1317700,1111326.4,1317700,1074062.99,1317700
420-65-0001-49000000,420,Department Of Commerce And Economic Opportunity,65,Illinois Trade Office,Administrative Expenses and Grants for the Office of Trade and Investment,49000000,General Revenue Fund,1,General Funds,New Appropriation,No,1500000,1493919.65,1500000,1500000,1500000
420-65-0621-19000000,420,Department Of Commerce And Economic Opportunity,65,Illinois Trade Office,Administrative Expenses and Grants Associated with New and Expanding International Markets for Illinois Business and Industries,19000000,International Tourism Fund,621,Special State Funds,New Appropriation,No,5000000,1848541.03,3000000,2000000,0
420-65-0763-49000000,420,Department Of Commerce And Economic Opportunity,65,Illinois Trade Office,Administrative Expenses for the Office of Trade and Investment,49000000,Tourism Promotion Fund,763,Special State Funds,New Appropriation,No,3000000,2150458.7,3000000,3000000,5000000
420-65-0984-19000000,420,Department Of Commerce And Economic Opportunity,65,Illinois Trade Office,Grants to Promote International Tourism,19000000,International and Promotional Fund,984,Special State Funds,New Appropriation,No,500000,9599.49,500000,10000,500000
420-70-0550-49000000,420,Department Of Commerce And Economic Opportunity,70,Office of Energy Assistance,Administrative Expenses and Grants on Behalf of Eligible Recipients per the Energy Assistance Act,49000000,Supplemental Low-Income Energy Assistance Fund,550,Special State Funds,New Appropriation,No,150000000,128304135.4,165000000,115441011.8,0
420-70-0555-49000000,420,Department Of Commerce And Economic Opportunity,70,Office of Energy Assistance,"Good Samaritan Energy Contributions
",49000000,Good Samaritan Energy Trust Fund,555,Special State Funds,New Appropriation,No,500000,0,500000,0,0
420-70-0737-49000000,420,Department Of Commerce And Economic Opportunity,70,Office of Energy Assistance,"Administration, Training, Technical Assistance and Grants for Weatherization Programs",49000000,Energy Administration Fund,737,Federal Trust Funds,New Appropriation,No,25000000,10619035.78,25000000,10900000,25000000
420-70-0870-49000000,420,Department Of Commerce And Economic Opportunity,70,Office of Energy Assistance,Administrative Expenses and Grants on Behalf of Eligible Recipients per the Low Income Home Energy Assistance Act,49000000,Low Income Home Energy Assistance Block Grant Fund,870,Federal Trust Funds,New Appropriation,No,330000000,213975122.4,330000000,215000000,330000000
